year,province,crop_type,average_yield_kg_per_hectare,total_farm_value_dollars,avg_rainfall_mm,avg_temperature_c,irrigation_used
1984,Manitoba,Wheat,3431,354912.24,406.6349572342278,8.78022512306455,Yes
1955,New Brunswick,Barley,2891,584553.01,458.49115135576466,6.583837831254575,Yes
1983,Nova Scotia,Soybeans,2502,774352.23,523.6856780056999,16.259139442624033,Yes
1977,Ontario,Rye,1335,143289.77,199.25704547859516,10.436742675677129,No
1988,Alberta,Sugar Beets,4521,852755.2,315.52999770138916,11.041401265711567,No
2009,Prince Edward Island,Sugar Beets,3893,876790.67,359.5946802966204,9.46622448635967,No
1984,Manitoba,Wheat,3538,310684.24,432.3653430444066,9.765754614397803,Yes
1938,Quebec,Barley,2380,337719.91,350.6221300096409,10.444831117374155,Yes
1958,Alberta,Sugar Beets,4794,260566.74,369.7009673550079,10.61475983960689,Yes
1997,Ontario,Wheat,2488,772645.48,592.6771133591005,11.71837184703359,No
1961,Alberta,Barley,3053,669674.82,433.59778653197634,11.887851077037991,Yes
1926,Quebec,Potatoes,4173,351501.65,467.7835372887189,11.366777960236732,Yes
1965,New Brunswick,Soybeans,3118,1216533.25,377.10864603881555,8.178832629265786,Yes
2008,Ontario,Wheat,2474,406849.6,337.4458613726136,11.415655329985963,Yes
1926,New Brunswick,Sugar Beets,3075,474867.89,241.44857905472065,17.469067796275247,Yes
2014,New Brunswick,Potatoes,3391,489410.2,365.35868846430446,8.816299089189837,Yes
1923,Quebec,Canola,1524,596056.24,459.88410566128664,10.95192613932997,Yes
1993,British Columbia,Barley,2745,714996.27,393.5744449907475,15.4952654924926,No
1994,Alberta,Oats,1509,252329.74,489.9183217565748,16.98141793167725,Yes
1962,Quebec,Oats,2137,-6219.48,364.2182844873778,9.12075714473384,No
1925,New Brunswick,Potatoes,3081,770620.12,361.2508860966645,7.658272480120507,No
1973,Prince Edward Island,Corn,4240,685749.06,398.7629481586008,16.066535526916915,Yes
1940,Ontario,Canola,1864,176918.0,386.96767679802895,12.867766282519634,Yes
1945,Manitoba,Canola,1774,923434.0,285.4964079317245,14.757276511251021,Yes
2022,British Columbia,Potatoes,3942,267567.9,475.5478610394344,17.917243808219304,No
1982,Saskatchewan,Potatoes,3460,568841.0,485.8838491932156,16.911911033386136,Yes
2014,Ontario,Canola,1484,1187438.88,274.7608867077152,11.171868237126134,No
1925,Nova Scotia,Oats,2072,149984.15,335.1365203267025,14.92811237828522,No
2000,British Columbia,Sugar Beets,3748,552418.38,373.97558522166787,12.159679501206266,Yes
1937,Prince Edward Island,Tomatoes,4049,1935023.4,376.9100555153947,13.840608294720662,No
1976,Ontario,Canola,1640,843144.84,349.1992823194724,21.36754788509777,No
1955,Saskatchewan,Wheat,1400,345774.1,310.55897082450895,6.763182391147797,No
1964,Quebec,Oats,2489,362865.04,409.6606440265779,8.39012907384043,No
1970,British Columbia,Potatoes,4394,706394.25,398.30994492276426,9.574612825783255,Yes
2014,Quebec,Barley,2068,480197.12,372.771188298977,16.982303215203416,No
1950,Nova Scotia,Rye,1505,176471.88,462.1590383612793,9.701670509569613,No
1992,Ontario,Rye,1703,338135.45,432.2184810380278,16.749913029281032,No
1965,Saskatchewan,Potatoes,4474,769347.38,501.8895338337168,12.361916661786765,Yes
1976,Nova Scotia,Sugar Beets,3411,108567.29,286.9349917107461,17.177675098954925,Yes
1933,Nova Scotia,Oats,2284,102170.58,541.8101890245554,10.9515376612286,No
